Phylum;Class;Order;Family;Genus;strain;name;short;conc;TPEN_conc;AUCsmean;sdAUC;maxODmean;sdmax;finalODmean;sdfinal
Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;HM04;Enterococcus faecalis;E. faecalis;60 µM;60;1,00026282695940272;0,024036265603070227;0,998008973178131531;0,021837677538487796;0,995041917724888259;0,026157389144552450
Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;HM04;Enterococcus faecalis;E. faecalis;70 µM;70;1,01484254784299144;0,025788917304998216;1,009573631158171114;0,021350997775132542;1,006401951190911026;0,027074011245829758
Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;HM04;Enterococcus faecalis;E. faecalis;80 µM;80;1,00638916053449101;0,020106009735206723;1,025736109757064529;0,024911738702117440;1,024610674929972154;0,025090725506355799
Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;HM04;Enterococcus faecalis;E. faecalis;90 µM;90;0,44113247979355130;0,344664163641627941;0,659816442716812723;0,324656691535567477;0,659407193688779203;0,324108222402547830
Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;HM04;Enterococcus faecalis;E. faecalis;100 µM;100;0,01755867195584090;0,007076575069846100;0,046171665757582657;0,031114977272772990;0,046171665757582657;0,031114977272772990
Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;HM04;Enterococcus faecalis;E. faecalis;110 µM;110;0,01598151363343348;0,006936453916951839;0,040910699277314770;0,033251256921020815;0,040910699277314770;0,033251256921020815
Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;HM04;Enterococcus faecalis;E. faecalis;120 µM;120;0,01471688987990580;0,006354900501986512;0,038533965138333404;0,028732562022592469;0,038533965138333404;0,028732562022592469
Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;HM04;Enterococcus faecalis;E. faecalis;130 µM;130;0,01390682658272532;0,005838713252561161;0,037301922608247023;0,028668730680714221;0,037301922608247023;0,028668730680714221
Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;HM04;Enterococcus faecalis;E. faecalis;140 µM;140;0,01350107475689146;0,005184728638873627;0,035504711341475752;0,024703528824379407;0,035504711341475752;0,024703528824379407
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;14073;Lactobacillus ruminis;L. ruminis;blank;blank;0,00382333265474838;0,003543553487905660;0,000419148928744683;0,000628765236846546;-0,006141395133458122;0,008847467963835015
